Protein,NET_FC_Phi,NET_FC_Pi,,,
AT2G01750.1,2.185195923,2.794337273,,,
AT5G46750.1,0,2.79314661,,,
AT4G01990.1,0,2.789302349,,,
AT3G61820.1,0,2.78898716,,,
AT1G66150.1,3.799192429,2.788967133,,,
AT1G34355.3,1.978676796,2.782953262,,,
AT4G37100.1,0,2.775449753,,,
AT1G29220.1,0,2.757124901,,,
AT1G20760.1,-4.948908806,2.75583601,,,
AT5G40200.1,0,2.748732567,,,
AT1G09730.2,0,2.746170044,,,
AT5G23390.1,0,2.740181923,,,
AT2G17290.2,0,2.733618736,,,
AT5G13010.1,0,2.729646683,,,
AT4G12770.2,1.693701744,2.717556953,,,
AT4G08180.3,0,2.703388214,,,
AT3G21100.2,0,2.69045639,,,
AT4G30160.4,-1.758815765,2.684753418,,,
AT1G50120.1,-2.256036282,2.683196068,,,
AT2G36850.1,0,2.653792381,,,
AT4G32730.1,0,2.652002335,,,
AT2G43790.1,0,2.641249657,,,
AT3G44050.1,0,2.638130188,,,
AT3G55020.2,-1.490009308,2.634479523,,,
AT4G02480.1,0,2.632239342,,,
AT3G58640.2,-1.835083961,2.631241798,,,
AT1G12360.1,0,2.625266075,,,
AT4G17950.1,0,2.621035576,,,
AT2G16405.1,-1.96204567,2.6129179,,,
AT1G75200.1,0,2.602625847,,,
AT1G75080.2,0,2.593333244,,,
AT4G00752.1,0,2.590828419,,,
AT4G01480.2,0,2.581763744,,,
AT3G54610.1,-2.475073814,2.565805912,,,
AT3G20150.2,0,2.561201096,,,
AT3G06010.1,2.504545212,2.558628082,,,
AT2G45690.1,0,2.556713104,,,
AT5G47430.2,-2.150878906,2.539196491,,,
AT3G48060.3,0,2.536334991,,,
AT4G22960.1,0,2.529625893,,,
AT1G32150.1,0,2.521428585,,,
AT1G69480.2,2.067706108,2.514328957,,,
AT1G59710.1,0,2.50976181,,,
AT3G28690.1,0,2.505724907,,,
AT1G05710.6,2.944982529,2.499965668,,,
AT3G23750.1,-1.560340881,2.497371674,,,
AT3G62940.5,0,2.49636364,,,
AT3G17750.1,0,2.494417191,,,
AT1G02730.1,0,2.490139961,,,
AT2G23140.5,0,2.487961769,,,
AT3G63000.1,0,2.48099041,,,
AT5G44240.2,0,2.478689194,,,
AT4G36900.1,0,2.476795197,,,
AT5G06560.1,0,2.476201057,,,
AT3G45190.2,0,2.473162651,,,
AT4G11270.2,0,2.469532967,,,
AT4G39680.2,-1.198037148,2.464356422,,,
AT1G61730.1,0,2.463562012,,,
AT1G16520.1,0,2.461781502,,,
AT1G04860.1,2.784148216,2.456917286,,,
AT4G23800.2,0,2.444200516,,,
